[INFO] [1729174421.341131]: Waiting for sensor data...
[INFO] [1729174421.443595]: Calculated Dynamic CoM: x=5.09295707176, y=-0.987625606921, z=25.6044681209
[INFO] [1729174421.443835]: Projected CoM on the ground: x=5.09295707176, y=-0.987625606921, z=0
[INFO] [1729174421.443962]: Calculated Moments: Mx=0.75463425, My=1.5092685
[INFO] [1729174422.241375]: Calculated Dynamic CoM: x=2.1561509703, y=-1.05731567814, z=25.9982005503
[INFO] [1729174422.241606]: Projected CoM on the ground: x=2.1561509703, y=-1.05731567814, z=0
[INFO] [1729174422.241762]: Calculated Moments: Mx=0.75463425, My=1.5092685
[INFO] [1729174422.241919]: Calculated Dynamic ZMP: x=4.41068706592, y=-1.71796550369
[INFO] [1729174422.242056]: Calculated ZMP: x=4.41068706592, y=-1.71796550369
[INFO] [1729174422.341350]: Calculated Dynamic CoM: x=2.06903982731, y=-1.06115067118, z=26.0089315564
[INFO] [1729174422.341607]: Projected CoM on the ground: x=2.06903982731, y=-1.06115067118, z=0
[INFO] [1729174422.341765]: Calculated Moments: Mx=0.75463425, My=1.5092685
[INFO] [1729174422.341920]: Calculated Dynamic ZMP: x=4.23255985635, y=-1.79425641247
[INFO] [1729174422.342064]: Calculated ZMP: x=4.23255985635, y=-1.79425641247
[INFO] [1729174422.441372]: Calculated Dynamic CoM: x=2.58469968266, y=-1.35275928024, z=25.9458272645
[INFO] [1729174422.441653]: Projected CoM on the ground: x=2.58469968266, y=-1.35275928024, z=0
[INFO] [1729174422.441879]: Calculated Moments: Mx=0.75463425, My=1.5092685
[INFO] [1729174422.442067]: Calculated Dynamic ZMP: x=5.35578043877, y=-4.69222846288
[INFO] [1729174422.442273]: Calculated ZMP: x=5.35578043877, y=-4.69222846288
[INFO] [1729174422.541373]: Calculated Dynamic CoM: x=1.87795316583, y=-0.918882088089, z=26.0177002402
[INFO] [1729174422.541646]: Projected CoM on the ground: x=1.87795316583, y=-0.918882088089, z=0
[INFO] [1729174422.541875]: Calculated Moments: Mx=0.75463425, My=1.5092685
[INFO] [1729174422.542064]: Calculated Dynamic ZMP: x=3.33027246139, y=-0.0399974200188
[INFO] [1729174422.542240]: Calculated ZMP: x=3.33027246139, y=-0.0399974200188
[INFO] [1729174422.641367]: Calculated Dynamic CoM: x=1.48144355747, y=-0.686376117704, z=26.0630808952
[INFO] [1729174422.641643]: Projected CoM on the ground: x=1.48144355747, y=-0.686376117704, z=0
[INFO] [1729174422.641853]: Calculated Moments: Mx=0.75463425, My=1.5092685
[INFO] [1729174422.642051]: Calculated Dynamic ZMP: x=3.03204265837, y=5.9231471701
[INFO] [1729174422.642257]: Calculated ZMP: x=3.03204265837, y=5.9231471701
[INFO] [1729174422.741346]: Calculated Dynamic CoM: x=7.30731117116, y=-0.362744918412, z=25.0946748393
[INFO] [1729174422.741622]: Projected CoM on the ground: x=7.30731117116, y=-0.362744918412, z=0
[INFO] [1729174422.741833]: Calculated Moments: Mx=0.75463425, My=1.5092685
[INFO] [1729174422.742008]: Calculated Dynamic ZMP: x=13.8871601575, y=1.61092095565
[INFO] [1729174422.742209]: Calculated ZMP: x=13.8871601575, y=1.61092095565
[INFO] [1729174422.841474]: Calculated Dynamic CoM: x=-2.97997856616, y=-0.920535640368, z=25.9628509711
[INFO] [1729174422.841916]: Projected CoM on the ground: x=-2.97997856616, y=-0.920535640368, z=0
[INFO] [1729174422.842166]: Calculated Moments: Mx=0.75463425, My=1.5092685
[INFO] [1729174422.842421]: Calculated Dynamic ZMP: x=-5.76014383632, y=-1.61030628866
[INFO] [1729174422.842631]: Calculated ZMP: x=-5.76014383632, y=-1.61030628866
[INFO] [1729174422.941405]: Calculated Dynamic CoM: x=-4.2013166158, y=-1.16417458252, z=25.771583561
[INFO] [1729174422.941682]: Projected CoM on the ground: x=-4.2013166158, y=-1.16417458252, z=0
[INFO] [1729174422.941869]: Calculated Moments: Mx=0.75463425, My=1.5092685
[INFO] [1729174422.942021]: Calculated Dynamic ZMP: x=-8.44530928279, y=-0.152777081845
[INFO] [1729174422.942162]: Calculated ZMP: x=-8.44530928279, y=-0.152777081845
[INFO] [1729174423.041346]: Calculated Dynamic CoM: x=-0.958540948006, y=-1.17170444348, z=26.0793686558
[INFO] [1729174423.041597]: Projected CoM on the ground: x=-0.958540948006, y=-1.17170444348, z=0
[INFO] [1729174423.041763]: Calculated Moments: Mx=0.75463425, My=1.5092685
[INFO] [1729174423.041931]: Calculated Dynamic ZMP: x=-1.96248153816, y=2.84989153748
[INFO] [1729174423.042072]: Calculated ZMP: x=-1.96248153816, y=2.84989153748
[INFO] [1729174423.141343]: Calculated Dynamic CoM: x=-1.72515522957, y=-1.41391833357, z=26.0129384405
[INFO] [1729174423.141615]: Projected CoM on the ground: x=-1.72515522957, y=-1.41391833357, z=0
[INFO] [1729174423.141857]: Calculated Moments: Mx=0.75463425, My=1.5092685
[INFO] [1729174423.142068]: Calculated Dynamic ZMP: x=-3.90045751531, y=5.08232404819
[INFO] [1729174423.142234]: Calculated ZMP: x=-3.90045751531, y=5.08232404819
[INFO] [1729174423.241337]: Calculated Dynamic CoM: x=1.66641048282, y=-0.55145436489, z=26.040834105
[INFO] [1729174423.241574]: Projected CoM on the ground: x=1.66641048282, y=-0.55145436489, z=0
[INFO] [1729174423.241737]: Calculated Moments: Mx=0.75463425, My=1.5092685
[INFO] [1729174423.241924]: Calculated Dynamic ZMP: x=3.07393286308, y=6.26438700987
[INFO] [1729174423.242069]: Calculated ZMP: x=3.07393286308, y=6.26438700987
[INFO] [1729174423.341356]: Calculated Dynamic CoM: x=2.69442887583, y=-0.207410491809, z=25.9852146892
[INFO] [1729174423.341586]: Projected CoM on the ground: x=2.69442887583, y=-0.207410491809, z=0
[INFO] [1729174423.341754]: Calculated Moments: Mx=0.75463425, My=1.5092685
[INFO] [1729174423.341921]: Calculated Dynamic ZMP: x=5.22473652593, y=7.35087830737
[INFO] [1729174423.342067]: Calculated ZMP: x=5.22473652593, y=7.35087830737
[INFO] [1729174423.441316]: Calculated Dynamic CoM: x=-3.853886503, y=-0.770824338603, z=25.8541829982
[INFO] [1729174423.441570]: Projected CoM on the ground: x=-3.853886503, y=-0.770824338603, z=0
[INFO] [1729174423.441736]: Calculated Moments: Mx=0.75463425, My=1.5092685
[INFO] [1729174423.441895]: Calculated Dynamic ZMP: x=-8.07770969436, y=-2.5442312914
[INFO] [1729174423.442020]: Calculated ZMP: x=-8.07770969436, y=-2.5442312914
[INFO] [1729174423.541321]: Calculated Dynamic CoM: x=-0.015308530596, y=-1.00326187925, z=26.1417448174
[INFO] [1729174423.541587]: Projected CoM on the ground: x=-0.015308530596, y=-1.00326187925, z=0
[INFO] [1729174423.541783]: Calculated Moments: Mx=0.75463425, My=1.5092685
[INFO] [1729174423.542018]: Calculated Dynamic ZMP: x=0.0139839008566, y=0.0165157971312
[INFO] [1729174423.542195]: Calculated ZMP: x=0.0139839008566, y=0.0165157971312
[INFO] [1729174423.641326]: Calculated Dynamic CoM: x=4.6189595978, y=-0.824700317101, z=25.7058591973
[INFO] [1729174423.641566]: Projected CoM on the ground: x=4.6189595978, y=-0.824700317101, z=0
[INFO] [1729174423.641731]: Calculated Moments: Mx=0.75463425, My=1.5092685
[INFO] [1729174423.642138]: Calculated Dynamic ZMP: x=9.04475929894, y=0.112931191575
[INFO] [1729174423.642287]: Calculated ZMP: x=9.04475929894, y=0.112931191575
[INFO] [1729174423.741325]: Calculated Dynamic CoM: x=-5.96336783777, y=-2.19255127194, z=25.3121121608
[INFO] [1729174423.741571]: Projected CoM on the ground: x=-5.96336783777, y=-2.19255127194, z=0
[INFO] [1729174423.741739]: Calculated Moments: Mx=0.75463425, My=1.5092685
[INFO] [1729174423.742019]: Calculated Dynamic ZMP: x=-10.8020432417, y=1.62506715465
[INFO] [1729174423.742186]: Calculated ZMP: x=-10.8020432417, y=1.62506715465
[INFO] [1729174423.841463]: Calculated Dynamic CoM: x=4.16817676014, y=0.250518140332, z=25.7601074908
[INFO] [1729174423.841786]: Projected CoM on the ground: x=4.16817676014, y=0.250518140332, z=0
[INFO] [1729174423.842630]: Calculated Moments: Mx=0.75463425, My=1.5092685
[INFO] [1729174423.843512]: Calculated Dynamic ZMP: x=7.81374282753, y=7.00491053525
[INFO] [1729174423.843769]: Calculated ZMP: x=7.81374282753, y=7.00491053525
[INFO] [1729174423.941426]: Calculated Dynamic CoM: x=4.79451506146, y=0.361487161546, z=25.6816772309
[INFO] [1729174423.941758]: Projected CoM on the ground: x=4.79451506146, y=0.361487161546, z=0
[INFO] [1729174423.942052]: Calculated Moments: Mx=0.75463425, My=1.5092685
[INFO] [1729174423.942259]: Calculated Dynamic ZMP: x=9.28971363652, y=7.14346728853
[INFO] [1729174423.942453]: Calculated ZMP: x=9.28971363652, y=7.14346728853
[INFO] [1729174424.041336]: Calculated Dynamic CoM: x=-5.47672370999, y=-1.80940351346, z=25.5133692388
[INFO] [1729174424.041580]: Projected CoM on the ground: x=-5.47672370999, y=-1.80940351346, z=0
[INFO] [1729174424.041748]: Calculated Moments: Mx=0.75463425, My=1.5092685
[INFO] [1729174424.041899]: Calculated Dynamic ZMP: x=-11.7746195636, y=2.32884257783
[INFO] [1729174424.042025]: Calculated ZMP: x=-11.7746195636, y=2.32884257783
[INFO] [1729174424.141315]: Calculated Dynamic CoM: x=-2.83067536136, y=-1.65866563892, z=25.9753548835
[INFO] [1729174424.141554]: Projected CoM on the ground: x=-2.83067536136, y=-1.65866563892, z=0
[INFO] [1729174424.141706]: Calculated Moments: Mx=0.75463425, My=1.5092685
[INFO] [1729174424.141863]: Calculated Dynamic ZMP: x=-5.94328985522, y=4.14153019373
[INFO] [1729174424.142008]: Calculated ZMP: x=-5.94328985522, y=4.14153019373
[INFO] [1729174424.241445]: Calculated Dynamic CoM: x=-5.33898011401, y=-3.33436606056, z=25.3901889885
[INFO] [1729174424.241773]: Projected CoM on the ground: x=-5.33898011401, y=-3.33436606056, z=0
[INFO] [1729174424.242101]: Calculated Moments: Mx=0.75463425, My=1.5092685
[INFO] [1729174424.242402]: Calculated Dynamic ZMP: x=-10.9196468568, y=5.64087950976
[INFO] [1729174424.242593]: Calculated ZMP: x=-10.9196468568, y=5.64087950976
[INFO] [1729174424.341339]: Calculated Dynamic CoM: x=-4.17155813489, y=-2.49653042503, z=25.6624633972
[INFO] [1729174424.341631]: Projected CoM on the ground: x=-4.17155813489, y=-2.49653042503, z=0
[INFO] [1729174424.341896]: Calculated Moments: Mx=0.75463425, My=1.5092685
[INFO] [1729174424.342097]: Calculated Dynamic ZMP: x=-8.2831547339, y=4.86216148179
[INFO] [1729174424.342289]: Calculated ZMP: x=-8.2831547339, y=4.86216148179
[INFO] [1729174424.441321]: Calculated Dynamic CoM: x=-0.202962126978, y=-1.07543926899, z=26.0770547079
[INFO] [1729174424.441592]: Projected CoM on the ground: x=-0.202962126978, y=-1.07543926899, z=0
[INFO] [1729174424.441811]: Calculated Moments: Mx=0.75463425, My=1.5092685
[INFO] [1729174424.441985]: Calculated Dynamic ZMP: x=-0.483319337477, y=3.57092242689
[INFO] [1729174424.442115]: Calculated ZMP: x=-0.483319337477, y=3.57092242689
[INFO] [1729174424.541329]: Calculated Dynamic CoM: x=4.89879966448, y=-0.508710186433, z=25.6384177861
[INFO] [1729174424.541593]: Projected CoM on the ground: x=4.89879966448, y=-0.508710186433, z=0
[INFO] [1729174424.541783]: Calculated Moments: Mx=0.75463425, My=1.5092685
[INFO] [1729174424.541978]: Calculated Dynamic ZMP: x=9.77002087224, y=2.06637984344
[INFO] [1729174424.542149]: Calculated ZMP: x=9.77002087224, y=2.06637984344
[INFO] [1729174424.641322]: Calculated Dynamic CoM: x=3.89943435591, y=-1.32206851654, z=25.8069099789
[INFO] [1729174424.641596]: Projected CoM on the ground: x=3.89943435591, y=-1.32206851654, z=0
[INFO] [1729174424.641853]: Calculated Moments: Mx=0.75463425, My=1.5092685
[INFO] [1729174424.642091]: Calculated Dynamic ZMP: x=7.61402486762, y=-3.22553137609
[INFO] [1729174424.642255]: Calculated ZMP: x=7.61402486762, y=-3.22553137609
[INFO] [1729174424.741322]: Calculated Dynamic CoM: x=5.19413244961, y=-2.94069344751, z=25.466798599
[INFO] [1729174424.741562]: Projected CoM on the ground: x=5.19413244961, y=-2.94069344751, z=0
[INFO] [1729174424.741814]: Calculated Moments: Mx=0.75463425, My=1.5092685
[INFO] [1729174424.742026]: Calculated Dynamic ZMP: x=10.1034457249, y=-10.053040362
[INFO] [1729174424.742185]: Calculated ZMP: x=10.1034457249, y=-10.053040362
[INFO] [1729174424.841500]: Calculated Dynamic CoM: x=6.378840039, y=-1.96397977218, z=25.2655540618
[INFO] [1729174424.841917]: Projected CoM on the ground: x=6.378840039, y=-1.96397977218, z=0
[INFO] [1729174424.842162]: Calculated Moments: Mx=0.75463425, My=1.5092685
[INFO] [1729174424.842379]: Calculated Dynamic ZMP: x=13.4207322403, y=-5.8889119884
[INFO] [1729174424.842622]: Calculated ZMP: x=13.4207322403, y=-5.8889119884
[INFO] [1729174424.941606]: Calculated Dynamic CoM: x=2.22818640214, y=-1.04567644886, z=25.9766052177
[INFO] [1729174424.942282]: Projected CoM on the ground: x=2.22818640214, y=-1.04567644886, z=0
[INFO] [1729174424.942518]: Calculated Moments: Mx=0.75463425, My=1.5092685
[INFO] [1729174424.942699]: Calculated Dynamic ZMP: x=4.09436690817, y=-1.45235360062
[INFO] [1729174424.942902]: Calculated ZMP: x=4.09436690817, y=-1.45235360062
[INFO] [1729174425.041365]: Calculated Dynamic CoM: x=-3.17361383838, y=-1.39052468409, z=25.8327687118
[INFO] [1729174425.041637]: Projected CoM on the ground: x=-3.17361383838, y=-1.39052468409, z=0
[INFO] [1729174425.041866]: Calculated Moments: Mx=0.75463425, My=1.5092685
[INFO] [1729174425.042053]: Calculated Dynamic ZMP: x=-7.36807487589, y=2.61200164647
[INFO] [1729174425.042222]: Calculated ZMP: x=-7.36807487589, y=2.61200164647
[INFO] [1729174425.141349]: Calculated Dynamic CoM: x=9.32237400707, y=-0.323436250118, z=24.3712088432
[INFO] [1729174425.141627]: Projected CoM on the ground: x=9.32237400707, y=-0.323436250118, z=0
[INFO] [1729174425.141813]: Calculated Moments: Mx=0.75463425, My=1.5092685
[INFO] [1729174425.141963]: Calculated Dynamic ZMP: x=18.1904269928, y=1.35931500323
[INFO] [1729174425.142104]: Calculated ZMP: x=18.1904269928, y=1.35931500323
[INFO] [1729174425.241348]: Calculated Dynamic CoM: x=4.39031497992, y=-1.00948132781, z=25.7380714459
[INFO] [1729174425.241603]: Projected CoM on the ground: x=4.39031497992, y=-1.00948132781, z=0
[INFO] [1729174425.241766]: Calculated Moments: Mx=0.75463425, My=1.5092685
[INFO] [1729174425.241937]: Calculated Dynamic ZMP: x=8.65708053702, y=-1.05208766529
[INFO] [1729174425.242082]: Calculated ZMP: x=8.65708053702, y=-1.05208766529
[INFO] [1729174425.341348]: Calculated Dynamic CoM: x=-2.1978626629, y=-0.743198770377, z=26.0548594679
[INFO] [1729174425.341630]: Projected CoM on the ground: x=-2.1978626629, y=-0.743198770377, z=0
[INFO] [1729174425.341869]: Calculated Moments: Mx=0.75463425, My=1.5092685
[INFO] [1729174425.342021]: Calculated Dynamic ZMP: x=-4.01472032312, y=-3.5766081362
[INFO] [1729174425.342164]: Calculated ZMP: x=-4.01472032312, y=-3.5766081362
[INFO] [1729174425.441329]: Calculated Dynamic CoM: x=2.42017186324, y=-0.998728625477, z=25.9951120152
[INFO] [1729174425.441647]: Projected CoM on the ground: x=2.42017186324, y=-0.998728625477, z=0
[INFO] [1729174425.441894]: Calculated Moments: Mx=0.75463425, My=1.5092685
[INFO] [1729174425.442091]: Calculated Dynamic ZMP: x=5.09647587688, y=-0.962863390037
[INFO] [1729174425.442257]: Calculated ZMP: x=5.09647587688, y=-0.962863390037
[INFO] [1729174425.541328]: Calculated Dynamic CoM: x=4.37261698601, y=-0.328972679936, z=25.7309228349
[INFO] [1729174425.541659]: Projected CoM on the ground: x=4.37261698601, y=-0.328972679936, z=0
[INFO] [1729174425.541920]: Calculated Moments: Mx=0.75463425, My=1.5092685
[INFO] [1729174425.542118]: Calculated Dynamic ZMP: x=7.93193446682, y=2.92636204057
[INFO] [1729174425.542321]: Calculated ZMP: x=7.93193446682, y=2.92636204057
[INFO] [1729174425.641290]: Calculated Dynamic CoM: x=0.391633677877, y=-0.925967687176, z=26.043849396
[INFO] [1729174425.641580]: Projected CoM on the ground: x=0.391633677877, y=-0.925967687176, z=0
[INFO] [1729174425.641773]: Calculated Moments: Mx=0.75463425, My=1.5092685
[INFO] [1729174425.642036]: Calculated Dynamic ZMP: x=0.595386676033, y=8.81525005308
[INFO] [1729174425.642169]: Calculated ZMP: x=0.595386676033, y=8.81525005308
[INFO] [1729174425.741363]: Calculated Dynamic CoM: x=9.13632125829, y=1.22218991699, z=24.4031647603
[INFO] [1729174425.741682]: Projected CoM on the ground: x=9.13632125829, y=1.22218991699, z=0
[INFO] [1729174425.741936]: Calculated Moments: Mx=0.75463425, My=1.5092685
[INFO] [1729174425.742137]: Calculated Dynamic ZMP: x=16.6583823385, y=5.97684392444
[INFO] [1729174425.742279]: Calculated ZMP: x=16.6583823385, y=5.97684392444
[INFO] [1729174425.841337]: Calculated Dynamic CoM: x=1.45897390685, y=-1.00165876829, z=26.0613052951
[INFO] [1729174425.841597]: Projected CoM on the ground: x=1.45897390685, y=-1.00165876829, z=0
[INFO] [1729174425.841775]: Calculated Moments: Mx=0.75463425, My=1.5092685
[INFO] [1729174425.841941]: Calculated Dynamic ZMP: x=3.07525904156, y=-0.998037437931
[INFO] [1729174425.842068]: Calculated ZMP: x=3.07525904156, y=-0.998037437931
[INFO] [1729174425.941344]: Calculated Dynamic CoM: x=-3.40722503038, y=-0.843726422164, z=25.9294149513
[INFO] [1729174425.941607]: Projected CoM on the ground: x=-3.40722503038, y=-0.843726422164, z=0
[INFO] [1729174425.941769]: Calculated Moments: Mx=0.75463425, My=1.5092685
[INFO] [1729174425.942024]: Calculated Dynamic ZMP: x=-6.90707524165, y=-2.13603622373
[INFO] [1729174425.942156]: Calculated ZMP: x=-6.90707524165, y=-2.13603622373
[INFO] [1729174426.041344]: Calculated Dynamic CoM: x=1.48785964833, y=-0.963349922115, z=26.0782152909
[INFO] [1729174426.041601]: Projected CoM on the ground: x=1.48785964833, y=-0.963349922115, z=0
[INFO] [1729174426.041864]: Calculated Moments: Mx=0.75463425, My=1.5092685
[INFO] [1729174426.042128]: Calculated Dynamic ZMP: x=2.74115316119, y=-0.412185023294
[INFO] [1729174426.042276]: Calculated ZMP: x=2.74115316119, y=-0.412185023294
[INFO] [1729174426.141346]: Calculated Dynamic CoM: x=4.70100674669, y=-0.931804515069, z=25.6628778312
[INFO] [1729174426.141611]: Projected CoM on the ground: x=4.70100674669, y=-0.931804515069, z=0
[INFO] [1729174426.141773]: Calculated Moments: Mx=0.75463425, My=1.5092685
[INFO] [1729174426.141938]: Calculated Dynamic ZMP: x=8.50332285486, y=-0.626695144697
[INFO] [1729174426.142063]: Calculated ZMP: x=8.50332285486, y=-0.626695144697
[INFO] [1729174426.241342]: Calculated Dynamic CoM: x=0.774294705385, y=-0.813496246727, z=26.0396714322
[INFO] [1729174426.241646]: Projected CoM on the ground: x=0.774294705385, y=-0.813496246727, z=0
[INFO] [1729174426.241881]: Calculated Moments: Mx=0.75463425, My=1.5092685
[INFO] [1729174426.242017]: Calculated Dynamic ZMP: x=1.47380623132, y=8.02525698465
[INFO] [1729174426.242147]: Calculated ZMP: x=1.47380623132, y=8.02525698465
[INFO] [1729174426.341351]: Calculated Dynamic CoM: x=6.73094214847, y=0.145983308254, z=25.1934853124
[INFO] [1729174426.341640]: Projected CoM on the ground: x=6.73094214847, y=0.145983308254, z=0
[INFO] [1729174426.341836]: Calculated Moments: Mx=0.75463425, My=1.5092685
[INFO] [1729174426.341971]: Calculated Dynamic ZMP: x=13.4718813562, y=4.43270071983
[INFO] [1729174426.342101]: Calculated ZMP: x=13.4718813562, y=4.43270071983
[INFO] [1729174426.441339]: Calculated Dynamic CoM: x=6.84282348544, y=-0.681010644006, z=25.1972516975
[INFO] [1729174426.441612]: Projected CoM on the ground: x=6.84282348544, y=-0.681010644006, z=0
[INFO] [1729174426.441776]: Calculated Moments: Mx=0.75463425, My=1.5092685
[INFO] [1729174426.441936]: Calculated Dynamic ZMP: x=13.2812071976, y=0.425718063977
[INFO] [1729174426.442062]: Calculated ZMP: x=13.2812071976, y=0.425718063977
[INFO] [1729174426.541342]: Calculated Dynamic CoM: x=-3.42822944271, y=-0.608017331391, z=25.9413598107
[INFO] [1729174426.541602]: Projected CoM on the ground: x=-3.42822944271, y=-0.608017331391, z=0
[INFO] [1729174426.541763]: Calculated Moments: Mx=0.75463425, My=1.5092685
[INFO] [1729174426.541930]: Calculated Dynamic ZMP: x=-7.31855842505, y=-4.21446313145
[INFO] [1729174426.542056]: Calculated ZMP: x=-7.31855842505, y=-4.21446313145
[INFO] [1729174426.641331]: Calculated Dynamic CoM: x=1.73457863835, y=-0.770143487214, z=26.0835595958
[INFO] [1729174426.641606]: Projected CoM on the ground: x=1.73457863835, y=-0.770143487214, z=0
[INFO] [1729174426.641773]: Calculated Moments: Mx=0.75463425, My=1.5092685
[INFO] [1729174426.641926]: Calculated Dynamic ZMP: x=3.19785173877, y=2.32899580092
[INFO] [1729174426.642053]: Calculated ZMP: x=3.19785173877, y=2.32899580092
[INFO] [1729174426.741339]: Calculated Dynamic CoM: x=8.18376708747, y=-0.62481622159, z=24.7951436181
[INFO] [1729174426.741608]: Projected CoM on the ground: x=8.18376708747, y=-0.62481622159, z=0
[INFO] [1729174426.741777]: Calculated Moments: Mx=0.75463425, My=1.5092685
[INFO] [1729174426.741944]: Calculated Dynamic ZMP: x=14.4119605249, y=0.241036982141
[INFO] [1729174426.742077]: Calculated ZMP: x=14.4119605249, y=0.241036982141
[INFO] [1729174426.841336]: Calculated Dynamic CoM: x=0.680182782697, y=-0.791688978683, z=26.041753513
[INFO] [1729174426.841620]: Projected CoM on the ground: x=0.680182782697, y=-0.791688978683, z=0
[INFO] [1729174426.841901]: Calculated Moments: Mx=0.75463425, My=1.5092685
[INFO] [1729174426.842087]: Calculated Dynamic ZMP: x=1.19549359787, y=13.8597428705
[INFO] [1729174426.842256]: Calculated ZMP: x=1.19549359787, y=13.8597428705
[INFO] [1729174426.941331]: Calculated Dynamic CoM: x=9.18153421248, y=0.538113133222, z=24.3894391134
[INFO] [1729174426.941602]: Projected CoM on the ground: x=9.18153421248, y=0.538113133222, z=0
[INFO] [1729174426.941780]: Calculated Moments: Mx=0.75463425, My=1.5092685
[INFO] [1729174426.942043]: Calculated Dynamic ZMP: x=16.6247254206, y=3.82175652984
[INFO] [1729174426.942221]: Calculated ZMP: x=16.6247254206, y=3.82175652984
[INFO] [1729174427.041375]: Calculated Dynamic CoM: x=6.72103981305, y=-0.84918045717, z=25.2167073459
[INFO] [1729174427.041604]: Projected CoM on the ground: x=6.72103981305, y=-0.84918045717, z=0
[INFO] [1729174427.041839]: Calculated Moments: Mx=0.75463425, My=1.5092685
[INFO] [1729174427.042053]: Calculated Dynamic ZMP: x=13.0315010572, y=-0.315730709469
[INFO] [1729174427.042225]: Calculated ZMP: x=13.0315010572, y=-0.315730709469
[INFO] [1729174427.141346]: Calculated Dynamic CoM: x=-3.74084366525, y=-0.598854639824, z=25.8894488328
[INFO] [1729174427.141598]: Projected CoM on the ground: x=-3.74084366525, y=-0.598854639824, z=0
[INFO] [1729174427.141817]: Calculated Moments: Mx=0.75463425, My=1.5092685
[INFO] [1729174427.142218]: Calculated Dynamic ZMP: x=-8.08843659033, y=-4.02799417652
[INFO] [1729174427.142371]: Calculated ZMP: x=-8.08843659033, y=-4.02799417652
[INFO] [1729174427.241342]: Calculated Dynamic CoM: x=-0.594187525839, y=-1.07205049831, z=26.1219928159
